28,"[('downtown', 9), ('loft', 9), ('post', 5), ('photo', 5), ('hurricane', 3), ('storm', 2), ('harvey', 2), ('calm', 1), ('buy', 1), ('glasses', 1), ('join', 1), ('metro', 1), ('team', 1), ('see', 1), ('latest', 1)]"
29,"[('want', 1), ('work', 1), ('tx', 1), ('view', 1), ('latest', 1), ('opening', 1)]"
30,"[('tx', 518), ('latest', 189), ('opening', 146), ('work', 144), ('click', 143), ('anyone', 117), ('recommend', 116), ('great', 99), ('fit', 98), ('see', 98), ('want', 97), ('apply', 96), ('houston', 76), ('team', 62), ('join', 56)]"
31,[]
32,"[('accident', 2), ('lane', 2), ('lp', 2), ('nb', 2), ('port', 2), ('houston', 2), ('stop', 2), ('go', 2), ('traffic', 2), ('back', 2), ('gulf', 2), ('fwy', 2), ('recommend', 1), ('anyone', 1), ('tx', 1)]"
33,"[('houston', 11), ('texas', 5), ('tx', 4), ('pray', 2), ('work', 2), ('th', 1), ('floor', 1), ('high', 1), ('enough', 1), ('flood', 1), ('ha', 1), ('airport', 1), ('parking', 1), ('preflighthou', 1), ('recommend', 1)]"
34,"[('read', 2), ('latest', 2), ('opening', 2), ('new', 2), ('teacher', 2), ('coach', 2), ('tx', 2), ('today', 2), ('barc', 2), ('close', 2), ('helping', 1), ('film', 1), ('stuff', 1), ('arnold', 1), ('brewing', 1)]"
35,"[('recommend', 1), ('anyone', 1), ('tx', 1), ('join', 1), ('oreilly', 1), ('auto', 1), ('parts', 1), ('team', 1), ('see', 1), ('latest', 1), ('opening', 1)]"
36,"[('tx', 30), ('work', 14), ('want', 11), ('latest', 11), ('opening', 11), ('click', 8), ('houston', 7), ('independent', 7), ('school', 7), ('district', 7), ('recommend', 6), ('anyone', 6), ('view', 6), ('details', 5), ('youre', 3)]"
37,"[('tx', 12), ('heights', 7), ('work', 4), ('day', 4), ('hurricane', 4), ('book', 4), ('drinking', 4), ('adobo', 4), ('post', 3), ('delay', 3), ('like', 3), ('bar', 3), ('houston', 3), ('want', 3), ('latest', 3)]"
38,"[('tx', 2), ('exit', 1), ('ramp', 1), ('accident', 1), ('eastex', 1), ('fwy', 1), ('inbound', 1), ('lp', 1), ('interest', 1), ('could', 1), ('great', 1), ('fit', 1), ('recommend', 1), ('anyone', 1), ('police', 1)]"
39,"[('fwy', 5), ('inbound', 5), ('stop', 5), ('go', 5), ('traffic', 5), ('back', 5), ('san', 5), ('jacinto', 5), ('delay', 5), ('min', 5), ('right', 4), ('lane', 4), ('block', 4), ('accident', 4), ('tx', 2)]"
40,"[('tx', 7), ('storm', 4), ('click', 4), ('houston', 4), ('monthly', 4), ('payment', 4), ('hurricane', 3), ('tropical', 3), ('conditions', 3), ('apply', 3), ('available', 3), ('harvey', 2), ('today', 2), ('sharpstown', 2), ('fri', 2)]"
41,[]
42,"[('bikini', 4), ('sport', 4), ('bar', 4), ('grill', 4), ('kenpachit', 3), ('get', 2), ('make', 2), ('running', 1), ('klub', 1), ('bump', 1), ('play', 1), ('phone', 1), ('know', 1), ('eezy', 1), ('huncho', 1)]"
