903487483949629441,6 MORE HOURS TO GO ON DAY #7...THEN I'M PARTIALLY OFF FOR FRIDAY...BACK 2 WORK FOR… https://t.co/JUAVb9PJcF,Fri Sep 01 00:19:36 CDT 2017,"29.98929185,-95.56803251",GavalonKeno,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903487801634709504,It's been 3 minutes bruh RT @CharlesRobinson: It's not that. Something else. Gimme three minutes.… https://t.co/dans37q0g2,Fri Sep 01 00:20:52 CDT 2017,"29.746933,-95.365219",WinkWestwood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903487994476191744,Customers are delighted with new vehicle after Hurricane Harvey… https://t.co/cNl2xSAucu,Fri Sep 01 00:21:38 CDT 2017,"29.67872722,-95.43089293",ghuggett,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903488262945177605,FLOOR LEVEL WALK THROUGH @ CHI St. Luke's Health https://t.co/sK4zLg8Fp1,Fri Sep 01 00:22:42 CDT 2017,"29.98929185,-95.56803251",GavalonKeno,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903488394017116160,@YesItsMoxey ma'am?,Fri Sep 01 00:23:13 CDT 2017,"29.746938,-95.365219",WinkWestwood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903488968703873025,I NEED SOME SOCKS...CAN'T DO SIX MORE HOURS N MY NEW BALANCE @ CHI St. Luke's Health https://t.co/qMyeWTfBBc,Fri Sep 01 00:25:30 CDT 2017,"29.98929185,-95.56803251",GavalonKeno,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903489181002772480,Returning at 9 p.m. after helping #hurricaneharvey flood victims all day @ Lakes of Eldridge https://t.co/lCSNtneWGq,Fri Sep 01 00:26:21 CDT 2017,"29.84954,-95.60011",kennstearns,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903489208282603521,It's the same shit ESPN said,Fri Sep 01 00:26:27 CDT 2017,"29.746656,-95.36521",WinkWestwood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903489406379503616,💓✌🏽 @ Texas Southern University https://t.co/YTfIHNJfys,Fri Sep 01 00:27:15 CDT 2017,"29.72180703,-95.36088523",devaningram10,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903489514840014849,"Clay River | #Harvey 🤦‍♂️ @ Houston, Texas https://t.co/51mOxmeUnr",Fri Sep 01 00:27:41 CDT 2017,"29.7629,-95.3832",N8d0gg7,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
