_ClutchCity,Damn boys out here gettin shot in the hurricane.. yall be safe mayne,66,Brays Oaks,0826,00,safe,1,1
TrueDumbBlonde,Just posted a photo @ DBr Clothing Co https://t.co/sTRDJYsgfu,1,Fourth Ward,0826,00,,0,0
TotalTrafficHOU,"Accident.  two right lanes blocked in #SwSide on I-69 SW Fwy Outbound at The Westpark Tollway, stop and go traffic back to Fountain View",6,Washington Avenue Coalition / Memorial Park,0826,00,,0,0
BeautybyLeRenda,"Repost from @JacksonLeeTX18 Please share these resources! Stay dry and safe! @ Houston, Texas https://t.co/IghcdSlHDP",30,Downtown,0826,00,safe,1,2
Anthony16367,We are getting a hurricane Harvey plz be safe everyone on Texas  #harvey #hurricane… https://t.co/rZzwA7Lrit,30,Downtown,0826,00,safe,1,2
SEFLCareers,"If you're looking for work in #Houston, TX, check out this #job: https://t.co/fJuvBqql6F #Transportation #Hiring",22,Mid West,0826,00,,0,0
buttongumdrops,Drinking a Zero Discipline by @18thStreetBrew/@Transientales @ Las Locas Fajitas Cafe — https://t.co/TLoLo6lKyJ #photo,1,Fourth Ward,0826,00,,0,0
RikyUnreal,"Hey America!  #NASA #Apollo #space #rocket @ NASA - Johnson Space Center in Houston, TX https://t.co/0ebIfIwb3B",5,Eldridge / West Oaks,0826,00,,0,0
MrWiredUpOhBoy,"This damn Hurricane got me in the house having a damn party like this...😂😂😂😂😂 @ Houston, Texas https://t.co/fpxTV0H6W2",88,Neartown - Montrose,0826,00,,0,0
BrianMendozaT62,UPDATE: Just getting to #Houston for the coverage of #HurricaneHarvey See you through… https://t.co/0YjHc8XCnA,55,Northside/Northline,0826,00,,0,0
EastHoustonBL,"Some hospitals close facilities, move patients ahead of Harvey https://t.co/k1GsZFPues",45,Willow Meadows / Willowbend Area,0826,00,,0,0
JohnnyNewsroom,Chris Devenski wins key battle with Mike Trout in Astros' victory over Angels https://t.co/41uzoxFtCW https://t.co/TzjDUoyeQA,53,East Houston,0826,00,,0,0
MrWiredUpOhBoy,Stuck in but still getting support...ayeeee #WalkedIn🚶🚶🚶   #Repost djnanaq… https://t.co/X3AFXrjnlz,12,Langwood,0826,00,,0,0
yungrook_tx,@Regrann from @yungrook_tx  -  #yungrook #justmemixtape #fiya #musicvideo #now #currently… https://t.co/sTHlq1bSwl,73,Clear Lake,0826,00,,0,0
Jaz_Wilson,Drinking a Medusa by @CopperheadBeer @ Sarah's Treehouse — https://t.co/oZWcYBJnFL,73,Clear Lake,0826,00,,0,0
BLifeRiverOaks,Hurricane Harvey forces shutdown of Camp Logan centennial events https://t.co/6nLkgK9wCP,73,Clear Lake,0826,00,,0,0
