L_Gilley,"Quick check in before bed. #harvey @ Cw 39 Newsfix Houston, Texas https://t.co/0l4LxweZdu",2,Greater Uptown,0827,01,,0,0
ArteSana3,"#travel #travellover #houston #photography #art #ArteSana3 @ Houston, Texas https://t.co/7SVXRjGGyy",1,Fourth Ward,0827,01,,0,1
enriqueinfante,Dear Houston friends: I'm watching the news and this is really bad. Please do not even try to… https://t.co/jeJ0sIgq9d,2,Greater Uptown,0827,01,,0,0
hshouston,"#likeawoman #hurricaneharvey @ Houston, Texas https://t.co/63OXdejhLh",87,Briarforest Area,0827,01,,0,0
4play31,Everybody gathering around 2 see that stupid shit tho @ Greenspoint… https://t.co/hgxtfbMRSR,84,Meyerland Area,0827,01,,0,0
isa2c,"And I knew that freedom was there! #hurricaneharvey @ Houston, Texas https://t.co/wgSR2VdQVm",33,Golfcrest / Bellfort / Reveille,0827,01,,0,1
USGS_TexasFlood,"#USGS08068780 - Little Cypress Ck nr Cypress, TX Height: 158.31ft ▲ (156.5ft) Flow: 2010cfs https://t.co/HQVvIawZYj",3,Greater Inwood,0827,01,,0,0
LopezHouse,"Harvey got more I store for you! 👊👊👊#HurricaneHarvey @ Houston, Texas https://t.co/nXZ5sFJQKs",25,Memorial,0827,01,store,1,1
TotalTrafficHOU,Closed due to flooding. in #NeSide on I-69 Eastex Fwy Inbound approaching The 610 N Lp #traffic https://t.co/vuUN2yElDh,5,Eldridge / West Oaks,0827,01,,0,0
USGS_TexasRain,"#USGS08074800 - Keegans Bayou at Roark Rd nr Houston, TX  Heavy Rain (1.64 in/hr) over the last 15 minutes  https://t.co/pqikKM0IqN",40,Sharpstown,0827,01,,0,0
USGS_TexasFlood,"#USGS08068780 - Little Cypress Ck nr Cypress, TX Height: 158.64ft ▲ (156.5ft) Flow: 2310cfs https://t.co/YwU3GqvmvS",1,Fourth Ward,0827,01,,0,1
EYErratic,"Just posted a video @ Westside, Houston, Texas https://t.co/TMnc2jVtLj",1,Fourth Ward,0827,01,,0,1
malvie5711,Welp... not looking good.  2 friends with water in the house so far. It's about 10 feet from the… https://t.co/hhGepSxipT,1,Fourth Ward,0827,01,water,1,1
TyBeezy11,I miss my #xboxone and #Madden18 @ University of Houston https://t.co/7BIPWqukyt,73,Clear Lake,0827,01,,0,0
USGS_TexasRain,"#USGS08073600 - Buffalo Bayou at W Belt Dr, Houston, TX  Heavy Rain (1.44 in/hr) over the last 15 minutes  https://t.co/iwF744nJRq",33,Golfcrest / Bellfort / Reveille,0827,01,,0,1
gotslimtv,It was all fun and games at first... but we all know now shit getting real! Y'all be safe I know… https://t.co/iYbUnqZgVj,33,Golfcrest / Bellfort / Reveille,0827,01,safe,1,1
USGS_TexasRain,"#USGS08074150 - Cole Ck at Deihl Rd, Houston, TX  Heavy Rain (0.4 in/hr) over the last 15 minutes  https://t.co/k7WIi9bh9O",80,Greater Third Ward,0827,01,,0,0
