901317706900787200,"Hey America!  #NASA #Apollo #space #rocket @ NASA - Johnson Space Center in Houston, TX https://t.co/0ebIfIwb3B",hey america johnson space center houston,Sat Aug 26 00:37:41 CDT 2017,"29.5517727,-95.09765115",RikyUnreal,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",5,Eldridge / West Oaks
901317741730299905,Happy 99th birthday to Katherine Johnson. Your work impacts me in many ways and helps not only… https://t.co/uaqBAY1i8V,happy birthday katherine johnson work impact many ways help,Sat Aug 26 00:37:49 CDT 2017,"29.5517727,-95.09765115",Interstephy,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901318174897053697,"High school days flashback... Numbers dance party! 🖤 love this song  #numbersclub @ Houston, Texas https://t.co/Yrbf7IWPdB",high school days flashback numbers dance party love song texas,Sat Aug 26 00:39:33 CDT 2017,"29.7629,-95.3832",bethrocksnruns,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901318889522507776,"This damn Hurricane got me in the house having a damn party like this...😂😂😂😂😂 @ Houston, Texas https://t.co/fpxTV0H6W2",damn hurricane get house damn party like texas,Sat Aug 26 00:42:23 CDT 2017,"29.7629,-95.3832",MrWiredUpOhBoy,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",88,Neartown - Montrose
901319296286175233,"@Regrann from @yungrook_tx  -  Download ""Long Way"" link in bio #yungrook #trillers… https://t.co/E1dKeBYSMy",regrann yungrooktx download long way link bio,Sat Aug 26 00:44:00 CDT 2017,"29.7629,-95.3832",yungrook_tx,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901319517925552129,UPDATE: Just getting to #Houston for the coverage of #HurricaneHarvey See you through… https://t.co/0YjHc8XCnA,update getting coverage see,Sat Aug 26 00:44:53 CDT 2017,"29.7629,-95.3832",BrianMendozaT62,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",55,Northside/Northline
901319865327341568,🎣 Nice catch on the Kayak 🎣 @ Heights Area https://t.co/jdmMeWyy7l,nice catch kayak area,Sat Aug 26 00:46:16 CDT 2017,"29.80874602,-95.39924531",Cheah_Brah420,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901320044784877568,"Some hospitals close facilities, move patients ahead of Harvey https://t.co/k1GsZFPues",hospital close facility move patient ahead harvey,Sat Aug 26 00:46:59 CDT 2017,"29.85140038,-95.25869751",EastHoustonBL,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",45,Willow Meadows / Willowbend Area
901320466522132480,"1260 W 23rd St, Houston, TX 77008, $364,900 3 beds, 4 baths https://t.co/zT0dQIbY4i",houston bed bath,Sat Aug 26 00:48:39 CDT 2017,"29.79829979,-95.4190979",BLifeTheHeights,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901320574999212033,Chris Devenski wins key battle with Mike Trout in Astros' victory over Angels https://t.co/41uzoxFtCW https://t.co/TzjDUoyeQA,chris devenski win key battle mike trout astros victory angel,Sat Aug 26 00:49:05 CDT 2017,"29.7285434,-95.457392",JohnnyNewsroom,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",53,East Houston
